id,work_title,country,year,original_title,speaker,quote_text,word_count,lang,source_name,source_url,retrieved_at,license_note,verified,popularity_score,emotion_valence,emotion_arousal,emotion_labels,semantic_tokens,section_hint,tags
29,Love O2O,C,2016,,Xiao Nai,You're all I need.,4,en,Bitches Over Dramas,https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""you're"", ""need""]",E3,country:C|usage:merch_forbidden
30,Love O2O,C,2016,,Xiao Nai,Be safe on the way back.,6,en,Bitches Over Dramas,https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""safe"", ""way"", ""back""]",E6,country:C|usage:merch_forbidden
31,Love O2O,C,2016,,Xiao Nai,I'm your everything.,3,en,Bitches Over Dramas,https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""i'm"", ""everything""]",E24,country:C|usage:merch_forbidden
32,Love O2O,C,2016,,Xiao Nai,"This is my girlfriend, WeiWei.",5,en,Bitches Over Dramas,https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""girlfriend"", ""weiwei""]",E24,country:C|usage:merch_forbidden
474,Love O2O,C,2016,,,I won’t be able to take it anymore!,9,en,Bitches Over Dramas,https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""won"", ""able"", ""take"", ""anymore""]",html_scrape,country:C|usage:merch_forbidden
476,Love O2O,C,2016,,,"It means no money for you, but you can take the man.",12,en,Bitches Over Dramas,https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""means"", ""money"", ""take"", ""man""]",html_scrape,country:C|usage:merch_forbidden
17,The Untamed,C,2019,,Lan Wangji,I am here.,3,en,Film Daily,https://filmdaily.co/news/the-untamed-story-quotes/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""here""]",curated,country:C|usage:merch_forbidden
18,The Untamed,C,2019,,Lan Wangji,"If the face says nothing, listen to the heartbeat.",9,en,Film Daily,https://filmdaily.co/news/the-untamed-heartfelt-quotes/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""face"", ""says"", ""nothing"", ""listen"", ""heartbeat""]",curated,country:C|usage:merch_forbidden
19,The Untamed,C,2019,,Wei Wuxian,I once saw you as my soulmate in this life.,10,en,Film Daily,https://filmdaily.co/news/the-untamed-heartfelt-quotes/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""once"", ""saw"", ""soulmate"", ""life""]",curated,country:C|usage:merch_forbidden
20,The Untamed,C,2019,,Lan Wangji,I still am.,3,en,Film Daily,https://filmdaily.co/news/the-untamed-heartfelt-quotes/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""still""]",curated,country:C|usage:merch_forbidden
21,The Untamed,C,2019,,Wei Wuxian,"If there's a hope, then let's move.",7,en,Film Daily,https://filmdaily.co/news/the-untamed-quotes/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,1.0,0.25,"[""tenderness""]","[""there's"", ""hope"", ""then"", ""let's"", ""move""]",curated,country:C|usage:merch_forbidden
559,The Untamed,C,2019,,,"If the face says nothing , listen to the heartbeat.",9,en,Film Daily,https://filmdaily.co/news/the-untamed-heartfelt-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""face"", ""says"", ""nothing"", ""listen"", ""heartbeat""]",html_scrape,country:C|usage:merch_forbidden
562,The Untamed,C,2019,,,But I’m not a turnip.,6,en,Film Daily,https://filmdaily.co/news/the-untamed-heartfelt-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""turnip""]",html_scrape,country:C|usage:merch_forbidden
563,The Untamed,C,2019,,,Then I’ll plant you some turnip friends.,8,en,Film Daily,https://filmdaily.co/news/the-untamed-heartfelt-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""then"", ""plant"", ""some"", ""turnip"", ""friends""]",html_scrape,country:C|usage:merch_forbidden
33,You Are My Glory,C,2021,,Yu Tu,Would you like to be with me?,7,en,YouTube WeTV clip,https://www.youtube.com/watch?v=AFHHJ_eRK_8,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""like""]",curated,country:C|usage:merch_forbidden
