quote_id,tag_slug,kind,label,work_title,country
17,country:C,country,C,The Untamed,C
18,country:C,country,C,The Untamed,C
19,country:C,country,C,The Untamed,C
20,country:C,country,C,The Untamed,C
21,country:C,country,C,The Untamed,C
29,country:C,country,C,Love O2O,C
30,country:C,country,C,Love O2O,C
31,country:C,country,C,Love O2O,C
32,country:C,country,C,Love O2O,C
33,country:C,country,C,You Are My Glory,C
34,country:C,country,C,You Are My Glory,C
474,country:C,country,C,Love O2O,C
475,country:C,country,C,Love O2O,C
476,country:C,country,C,Love O2O,C
558,country:C,country,C,The Untamed,C
559,country:C,country,C,The Untamed,C
560,country:C,country,C,The Untamed,C
561,country:C,country,C,The Untamed,C
562,country:C,country,C,The Untamed,C
563,country:C,country,C,The Untamed,C
22,country:J,country,J,Tokyo Love Story,J
23,country:J,country,J,Tokyo Love Story,J
24,country:J,country,J,Tokyo Love Story,J
25,country:J,country,J,Hana Yori Dango,J
26,country:J,country,J,Hana Yori Dango,J
27,country:J,country,J,Hana Yori Dango,J
28,country:J,country,J,Hana Yori Dango,J
532,country:J,country,J,Hana Yori Dango,J
533,country:J,country,J,Hana Yori Dango,J
534,country:J,country,J,Hana Yori Dango,J
535,country:J,country,J,Hana Yori Dango,J
536,country:J,country,J,Hana Yori Dango,J
537,country:J,country,J,Hana Yori Dango,J
538,country:J,country,J,Hana Yori Dango,J
539,country:J,country,J,Hana Yori Dango,J
540,country:J,country,J,Hana Yori Dango,J
541,country:J,country,J,Hana Yori Dango,J
542,country:J,country,J,Hana Yori Dango,J
543,country:J,country,J,Hana Yori Dango,J
544,country:J,country,J,Hana Yori Dango,J
545,country:J,country,J,Hana Yori Dango,J
546,country:J,country,J,Hana Yori Dango,J
547,country:J,country,J,Hana Yori Dango,J
548,country:J,country,J,Hana Yori Dango,J
549,country:J,country,J,Hana Yori Dango,J
550,country:J,country,J,Hana Yori Dango,J
552,country:J,country,J,Hana Yori Dango,J
553,country:J,country,J,Hana Yori Dango,J
1,country:K,country,K,Crash Landing on You,K
2,country:K,country,K,Crash Landing on You,K
3,country:K,country,K,Crash Landing on You,K
4,country:K,country,K,Crash Landing on You,K
5,country:K,country,K,Crash Landing on You,K
6,country:K,country,K,Crash Landing on You,K
7,country:K,country,K,Goblin,K
8,country:K,country,K,Goblin,K
9,country:K,country,K,Goblin,K
10,country:K,country,K,Goblin,K
11,country:K,country,K,Descendants of the Sun,K
12,country:K,country,K,Descendants of the Sun,K
13,country:K,country,K,Descendants of the Sun,K
14,country:K,country,K,Descendants of the Sun,K
15,country:K,country,K,Descendants of the Sun,K
16,country:K,country,K,Descendants of the Sun,K
35,country:K,country,K,Boys Over Flowers,K
36,country:K,country,K,Boys Over Flowers,K
478,country:K,country,K,Descendants of the Sun,K
479,country:K,country,K,Descendants of the Sun,K
480,country:K,country,K,Descendants of the Sun,K
481,country:K,country,K,Descendants of the Sun,K
482,country:K,country,K,Descendants of the Sun,K
483,country:K,country,K,Descendants of the Sun,K
484,country:K,country,K,Descendants of the Sun,K
485,country:K,country,K,Descendants of the Sun,K
486,country:K,country,K,Descendants of the Sun,K
487,country:K,country,K,Descendants of the Sun,K
488,country:K,country,K,Descendants of the Sun,K
489,country:K,country,K,Descendants of the Sun,K
490,country:K,country,K,Descendants of the Sun,K
491,country:K,country,K,Descendants of the Sun,K
492,country:K,country,K,Descendants of the Sun,K
493,country:K,country,K,Descendants of the Sun,K
494,country:K,country,K,Descendants of the Sun,K
495,country:K,country,K,Descendants of the Sun,K
496,country:K,country,K,Descendants of the Sun,K
497,country:K,country,K,Descendants of the Sun,K
498,country:K,country,K,Descendants of the Sun,K
499,country:K,country,K,Descendants of the Sun,K
500,country:K,country,K,Descendants of the Sun,K
501,country:K,country,K,Descendants of the Sun,K
502,country:K,country,K,Descendants of the Sun,K
503,country:K,country,K,Descendants of the Sun,K
504,country:K,country,K,Descendants of the Sun,K
505,country:K,country,K,Descendants of the Sun,K
506,country:K,country,K,Descendants of the Sun,K
507,country:K,country,K,Descendants of the Sun,K
508,country:K,country,K,Descendants of the Sun,K
509,country:K,country,K,Descendants of the Sun,K
510,country:K,country,K,Descendants of the Sun,K
511,country:K,country,K,Descendants of the Sun,K
512,country:K,country,K,Descendants of the Sun,K
513,country:K,country,K,Descendants of the Sun,K
514,country:K,country,K,Descendants of the Sun,K
515,country:K,country,K,Descendants of the Sun,K
516,country:K,country,K,Descendants of the Sun,K
517,country:K,country,K,Descendants of the Sun,K
518,country:K,country,K,Descendants of the Sun,K
519,country:K,country,K,Descendants of the Sun,K
521,country:K,country,K,Descendants of the Sun,K
522,country:K,country,K,Descendants of the Sun,K
523,country:K,country,K,Descendants of the Sun,K
524,country:K,country,K,Descendants of the Sun,K
525,country:K,country,K,Descendants of the Sun,K
526,country:K,country,K,Descendants of the Sun,K
527,country:K,country,K,Descendants of the Sun,K
528,country:K,country,K,Descendants of the Sun,K
529,country:K,country,K,Descendants of the Sun,K
530,country:K,country,K,Descendants of the Sun,K
531,country:K,country,K,Descendants of the Sun,K
554,country:K,country,K,Crash Landing on You,K
555,country:K,country,K,Crash Landing on You,K
2,desk:mirror_roast_safe,desk,"Mirror-safe (device, not person)",Crash Landing on You,K
2,desk:soft_craft,desk,Soft craft example,Crash Landing on You,K
5,desk:soft_craft,desk,Soft craft example,Crash Landing on You,K
9,desk:soft_craft,desk,Soft craft example,Goblin,K
15,desk:soft_craft,desk,Soft craft example,Descendants of the Sun,K
24,desk:soft_craft,desk,Soft craft example,Tokyo Love Story,J
498,desk:soft_craft,desk,Soft craft example,Descendants of the Sun,K
500,desk:soft_craft,desk,Soft craft example,Descendants of the Sun,K
511,desk:soft_craft,desk,Soft craft example,Descendants of the Sun,K
513,desk:soft_craft,desk,Soft craft example,Descendants of the Sun,K
517,desk:soft_craft,desk,Soft craft example,Descendants of the Sun,K
531,desk:soft_craft,desk,Soft craft example,Descendants of the Sun,K
543,desk:soft_craft,desk,Soft craft example,Hana Yori Dango,J
547,desk:soft_craft,desk,Soft craft example,Hana Yori Dango,J
492,emotion:longing,emotion,Longing,Descendants of the Sun,K
511,emotion:longing,emotion,Longing,Descendants of the Sun,K
527,emotion:longing,emotion,Longing,Descendants of the Sun,K
504,emotion:melancholy,emotion,Melancholy,Descendants of the Sun,K
505,emotion:melancholy,emotion,Melancholy,Descendants of the Sun,K
6,emotion:resolve,emotion,Resolve,Crash Landing on You,K
14,emotion:resolve,emotion,Resolve,Descendants of the Sun,K
16,emotion:resolve,emotion,Resolve,Descendants of the Sun,K
26,emotion:resolve,emotion,Resolve,Hana Yori Dango,J
482,emotion:resolve,emotion,Resolve,Descendants of the Sun,K
490,emotion:resolve,emotion,Resolve,Descendants of the Sun,K
492,emotion:resolve,emotion,Resolve,Descendants of the Sun,K
495,emotion:resolve,emotion,Resolve,Descendants of the Sun,K
502,emotion:resolve,emotion,Resolve,Descendants of the Sun,K
509,emotion:resolve,emotion,Resolve,Descendants of the Sun,K
532,emotion:resolve,emotion,Resolve,Hana Yori Dango,J
539,emotion:resolve,emotion,Resolve,Hana Yori Dango,J
545,emotion:resolve,emotion,Resolve,Hana Yori Dango,J
552,emotion:resolve,emotion,Resolve,Hana Yori Dango,J
555,emotion:resolve,emotion,Resolve,Crash Landing on You,K
558,emotion:resolve,emotion,Resolve,The Untamed,C
482,emotion:tenderness,emotion,Tenderness,Descendants of the Sun,K
490,emotion:tenderness,emotion,Tenderness,Descendants of the Sun,K
541,emotion:tenderness,emotion,Tenderness,Hana Yori Dango,J
7,trope:confession,trope,Confession,Goblin,K
498,trope:confession,trope,Confession,Descendants of the Sun,K
513,trope:confession,trope,Confession,Descendants of the Sun,K
524,trope:confession,trope,Confession,Descendants of the Sun,K
543,trope:confession,trope,Confession,Hana Yori Dango,J
2,trope:destiny_fate,trope,Destiny / fate,Crash Landing on You,K
2,trope:found_family,trope,Found family,Crash Landing on You,K
511,trope:found_family,trope,Found family,Descendants of the Sun,K
544,trope:status_gap,trope,Status gap,Hana Yori Dango,J
536,trope:time_memory,trope,Time / memory,Hana Yori Dango,J
491,trope:workplace,trope,Workplace,Descendants of the Sun,K
5,usage:epigraph_ok,usage,Epigraph candidate,Crash Landing on You,K
9,usage:epigraph_ok,usage,Epigraph candidate,Goblin,K
15,usage:epigraph_ok,usage,Epigraph candidate,Descendants of the Sun,K
24,usage:epigraph_ok,usage,Epigraph candidate,Tokyo Love Story,J
498,usage:epigraph_ok,usage,Epigraph candidate,Descendants of the Sun,K
500,usage:epigraph_ok,usage,Epigraph candidate,Descendants of the Sun,K
517,usage:epigraph_ok,usage,Epigraph candidate,Descendants of the Sun,K
543,usage:epigraph_ok,usage,Epigraph candidate,Hana Yori Dango,J
547,usage:epigraph_ok,usage,Epigraph candidate,Hana Yori Dango,J
2,usage:inline_example_ok,usage,Inline example candidate,Crash Landing on You,K
9,usage:inline_example_ok,usage,Inline example candidate,Goblin,K
24,usage:inline_example_ok,usage,Inline example candidate,Tokyo Love Story,J
498,usage:inline_example_ok,usage,Inline example candidate,Descendants of the Sun,K
500,usage:inline_example_ok,usage,Inline example candidate,Descendants of the Sun,K
511,usage:inline_example_ok,usage,Inline example candidate,Descendants of the Sun,K
517,usage:inline_example_ok,usage,Inline example candidate,Descendants of the Sun,K
543,usage:inline_example_ok,usage,Inline example candidate,Hana Yori Dango,J
555,usage:inline_example_ok,usage,Inline example candidate,Crash Landing on You,K
1,usage:merch_forbidden,usage,Do not use on merch,Crash Landing on You,K
