work_title,country,year,speaker,quote_text,source_url,source_name,episode_hint
Crash Landing on You,K,2019,Yoon Se-ri,"Sometimes the wrong train takes you to the right station.",https://moviesense.io/crash-landing-on-you/quotes,MovieSense,E5
Crash Landing on You,K,2019,Yoon Se-ri,"Let's say destiny brought us together.",https://www.morninglazziness.com/web-stories/10-best-quotes-from-crash-landing-on-you/,Morning Lazziness,
Crash Landing on You,K,2019,Ri Jeong-hyeok,"Fortune and misfortune are like twisted rope.",https://www.morninglazziness.com/web-stories/10-best-quotes-from-crash-landing-on-you/,Morning Lazziness,
Crash Landing on You,K,2019,Ri Jeong-hyeok,"I like that woman. I have feelings for her.",https://www.thyquotes.com/ri-jeong-hyeok/,ThyQuotes,E7
Crash Landing on You,K,2019,Ri Jeong-hyeok,"Keep only the people you like in your heart.",https://www.needsomefun.net/best-16-crash-landing-on-you-quotes-korean-tv-series/,NeedSomeFun,
Crash Landing on You,K,2019,Go Myung-suk,"If your view of something is already negative, then everything will look wrong.",https://www.morninglazziness.com/web-stories/10-best-quotes-from-crash-landing-on-you/,Morning Lazziness,
Goblin,K,2016,Kim Shin,"You are my life and my death. And I like you.",https://www.timesnownews.com/web-stories/entertainment/goblin-9-quotes-gong-yoo-kim-go-eun-lee-dong-wook-that-are-deep-emotional-wholesome/photostory/115944033.cms,Times Now,
Goblin,K,2016,Kim Shin,"Every moment I spent with you shined.",https://www.timesnownews.com/web-stories/entertainment/goblin-9-quotes-gong-yoo-kim-go-eun-lee-dong-wook-that-are-deep-emotional-wholesome/photostory/115944033.cms,Times Now,
Goblin,K,2016,Kim Shin,"What are you going to choose? Sadness or love?",https://en.sperohope.com/las-50-mejores-frases-de-goblin,Sperohope,
Goblin,K,2016,Ji Eun-tak,"Who are you to judge whether or not I am valuable?",https://en.sperohope.com/las-50-mejores-frases-de-goblin,Sperohope,
Descendants of the Sun,K,2016,Yoo Si-jin,"You are already beautiful.",https://www.koreatimes.co.kr/entertainment/shows-dramas/20160310/10-sweetest-quotes-from-descendants-of-the-sun,The Korea Times,
Descendants of the Sun,K,2016,Yoo Si-jin,"Just worry about me from now on.",https://www.koreatimes.co.kr/entertainment/shows-dramas/20160310/10-sweetest-quotes-from-descendants-of-the-sun,The Korea Times,
Descendants of the Sun,K,2016,Yoo Si-jin,"There is a way.",https://www.koreatimes.co.kr/entertainment/shows-dramas/20160310/10-sweetest-quotes-from-descendants-of-the-sun,The Korea Times,
Descendants of the Sun,K,2016,Yoo Si-jin,"I never interrupt my enemies when they are making mistakes.",https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,Slice of Asian Life,E1
Descendants of the Sun,K,2016,Seo Dae-young,"I do not have the skills to explain the things of the heart.",https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,Slice of Asian Life,E1
Descendants of the Sun,K,2016,Kang Mo-yeon,"I fight for life.",https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,Slice of Asian Life,E2
The Untamed,C,2019,Lan Wangji,"I am here.",https://filmdaily.co/news/the-untamed-story-quotes/,Film Daily,
The Untamed,C,2019,Lan Wangji,"If the face says nothing, listen to the heartbeat.",https://filmdaily.co/news/the-untamed-heartfelt-quotes/,Film Daily,
The Untamed,C,2019,Wei Wuxian,"I once saw you as my soulmate in this life.",https://filmdaily.co/news/the-untamed-heartfelt-quotes/,Film Daily,
The Untamed,C,2019,Lan Wangji,"I still am.",https://filmdaily.co/news/the-untamed-heartfelt-quotes/,Film Daily,
The Untamed,C,2019,Wei Wuxian,"If there's a hope, then let's move.",https://filmdaily.co/news/the-untamed-quotes/,Film Daily,
Tokyo Love Story,J,1991,Akana Rika,"It isn't loneliness because nobody is there.",https://today.line.me/tw/v3/article/9mW3B63,LINE TODAY,
Tokyo Love Story,J,1991,Akana Rika,"Liking someone isn't shameful.",https://today.line.me/tw/v3/article/9mW3B63,LINE TODAY,
Tokyo Love Story,J,1991,Akana Rika,"Tell me how not to fall in love with someone.",https://ooxxtalk.com/tokyo_love_story_1/,OOXX Talk,

Hana Yori Dango,J,2005,Tsukushi Makino,"I am the tough weed, Tsukushi Makino!",https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,Shapes,
Hana Yori Dango,J,2005,Tsukushi Makino,"I'm a weed. I won't be crushed that easily.",https://shapes.inc/fandom/boys-over-flowers-1996-anime/quotes,Shapes,
Hana Yori Dango,J,2005,Domyouji Tsukasa,"You're the only girl who ever punched me.",https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,Shapes,
Hana Yori Dango,J,2005,Domyouji Tsukasa,"You're interesting.",https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,Shapes,
Hana Yori Dango,J,2005,Shizuka Todo,"Good shoes take you to good places.",https://shapes.inc/fandom/boys-over-flowers-1996-anime/quotes,Shapes,
Love O2O,C,2016,Xiao Nai,"You're all I need.",https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,Bitches Over Dramas,E3
Love O2O,C,2016,Xiao Nai,"Be safe on the way back.",https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,Bitches Over Dramas,E6
Love O2O,C,2016,Xiao Nai,"I'm your everything.",https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,Bitches Over Dramas,E24
Love O2O,C,2016,Xiao Nai,"This is my girlfriend, WeiWei.",https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,Bitches Over Dramas,E24
You Are My Glory,C,2021,Yu Tu,"Would you like to be with me?",https://www.youtube.com/watch?v=AFHHJ_eRK_8,YouTube WeTV clip,
You Are My Glory,C,2021,Yu Tu,"Please leave the rest of your time to me.",https://www.youtube.com/watch?v=dnkZhWgBUdM,YouTube WeTV clip,
Boys Over Flowers,K,2009,Gu Jun-pyo,"If apologizing solves everything, why do you think there are laws?",https://www.imdb.com/title/tt1378091/quotes/,IMDb,E1
Boys Over Flowers,K,2009,Geum Jan-di,"Commoners are nothing if not unyielding and persevering!",https://www.imdb.com/title/tt1378091/quotes/,IMDb,E1
