title,country,year,original_title,aliases,wikiquote_title
Crash Landing on You,K,2019,사랑의 불시착,CLOY|Crash Landing on You,Crash Landing on You
Goblin,K,2016,도깨비,Guardian: The Lonely and Great God|Dokkaebi,Guardian: The Lonely and Great God
Descendants of the Sun,K,2016,태양의 후예,DOTS,Descendants of the Sun
What's Wrong with Secretary Kim,K,2018,김비서가 왜 그럴까,Secretary Kim,What's Wrong with Secretary Kim
Hometown Cha-Cha-Cha,K,2021,갯마을 차차차,HCCC|Seaside Village Cha Cha Cha,Hometown Cha-Cha-Cha
Business Proposal,K,2022,사내맞선,A Business Proposal,Business Proposal
Boys Over Flowers,K,2009,꽃보다 남자,KOTB|Boys Before Flowers,Boys Over Flowers (TV series)
Coffee Prince,K,2007,커피프린스 1호점,The 1st Shop of Coffee Prince,Coffee Prince
Winter Sonata,K,2002,겨울연가,Winter Sonata,Winter Sonata
The Legend of the Blue Sea,K,2016,푸른 바다의 전설,Legend of the Blue Sea,The Legend of the Blue Sea
Love O2O,C,2016,微微一笑很倾城,A Smile Is Beautiful,Love O2O
Eternal Love,C,2017,三生三世十里桃花,Ten Miles of Peach Blossoms|Three Lives Three Worlds,Eternal Love (2017 TV series)
The Story of Yanxi Palace,C,2018,延禧攻略,Yanxi Palace,Story of Yanxi Palace
Put Your Head on My Shoulder,C,2019,致我们甜甜的小美满,Put Your Head on My Shoulder,Put Your Head on My Shoulder
Meteor Garden,C,2018,流星花园,Meteor Garden 2018,Meteor Garden (2018 TV series)
The Untamed,C,2019,陈情令,Chen Qing Ling,The Untamed
Ashes of Love,C,2018,香蜜沉沉烬如霜,Ashes of Love,Ashes of Love
You Are My Glory,C,2021,你是我的荣耀,You Are My Glory,You Are My Glory
Hana Yori Dango,J,2005,花より男子,Boys Over Flowers JP|HYD,Hana Yori Dango (2005 TV series)
Good Morning Call,J,2016,グッドモーニングコール,Good Morning Call,Good Morning Call
Nigeru wa Haji da ga Yaku ni Tatsu,J,2016,逃げるは恥だが役に立つ,We Married as a Job|Nigehaji,Nigeru wa Haji da ga Yaku ni Tatsu
Long Vacation,J,1996,ロングバケーション,Long Vacation,Long Vacation (Japanese TV series)
Love Generation,J,1997,ラブジェネレーション,Love Generation,Love Generation
Tokyo Love Story,J,1991,東京ラブストーリー,Tokyo Love Story,Tokyo Love Story
Pride,J,2004,プライド,Pride 2004,Pride (2004 TV series)
Last Cinderella,J,2013,ラスト・シンデレラ,Last Cinderella,Last Cinderella
